92B24D2E-3966-09A9-9A5C-F8C5885B402C_time (s),92B24D2E-3966-09A9-9A5C-F8C5885B402C_raw_resistance,92B24D2E-3966-09A9-9A5C-F8C5885B402C_calibrated_angle
5.951,10.513157844543457,-12.006115966014207
5.971,10.44444465637207,-12.513157841243753
5.991,10.513157844543457,-12.006115966014207
6.011,10.513157844543457,-12.006115966014207
6.031,10.513157844543457,-12.006115966014207
6.051,10.582036018371582,-11.497856644192439
6.071,10.375894546508789,-13.018996344408194
6.091,10.651079177856445,-10.988379875778492
6.112,10.513157844543457,-12.006115966014207
6.132,10.44444465637207,-12.513157841243753
6.152,12.65384578704834,3.790246530537246
6.172,12.213054656982422,0.5376022111422856
6.192,12.286067008972168,1.0763680704044702
6.215,13.251879692077637,8.203201899462755
6.235,13.939163208007812,13.274739576660977
6.255,14.80077075958252,19.632632730632054
6.275,14.721437454223633,19.047223888635116
6.295,14.24968147277832,15.566086659400895
6.315,14.24968147277832,15.566086659400895
6.335,14.17175579071045,14.99106481838713
6.357,14.016497611999512,13.845398314280715
6.377,14.016497611999512,13.845398314280715
6.417,14.80077075958252,19.632632730632054
6.437,15.039999961853027,21.39793028932428
6.457,16.015727996826172,28.59793054739481
6.477,16.34782600402832,31.048516829489273
6.497,16.683443069458008,33.52507061404168
6.517,18.238805770874023,45.002256315584845
6.537,19.318620681762695,52.970324628063764
6.557,20.340335845947266,60.509668771235766
6.577,21.200000762939453,66.85322701937844
6.597,21.78540802001953,71.17300901905105
6.62,22.18129539489746,74.09430378472456
6.64,23.191240310668945,81.54679402130145
6.66,24.020679473876953,87.66731323884738
6.68,24.54910659790039,91.56663281660752
6.7,24.336795806884766,89.99996905855969
6.72,22.78374481201172,78.53984168383442
6.74,21.883955001831055,71.90019760956292
6.76,21.883955001831055,71.90019760956292
6.78,21.78540802001953,71.17300901905105
6.8,21.1033992767334,66.14039444648557
6.82,20.529495239257812,61.90549591961721
6.84,21.00707244873047,65.42958860549189
6.86,21.1033992767334,66.14039444648557
6.88,20.9110164642334,64.72078134734318
6.9,21.00707244873047,65.42958860549189
6.92,20.71971893310547,63.30917665410789
