C4B0890D-F795-5936-5F56-28B4BC3AA9C8_time (s),C4B0890D-F795-5936-5F56-28B4BC3AA9C8_raw_resistance
0.0,49.9375
0.014,51.932098388671875
0.033,51.932098388671875
0.047,50.924644470214844
0.061,51.52663803100586
0.074,57.29718017578125
0.093,57.980350494384766
0.107,66.93601989746094
0.12,67.20664978027344
0.136,76.28461456298828
0.151,77.24031066894531
0.163,85.82044219970703
0.18,85.45454406738281
0.21,94.83185577392578
0.224,97.8222885131836
0.241,101.85758209228516
0.254,103.72413635253906
0.273,115.98644256591797
0.287,109.61563873291016
0.301,115.98644256591797
0.316,114.88888549804688
0.329,127.2065200805664
0.346,135.125
0.358,135.81748962402344
0.377,132.40672302246094
0.391,257.31011962890625
0.404,261.2115478515625
0.423,322.8538513183594
0.437,328.6328125
0.451,340.75
0.465,328.6328125
0.481,271.4172058105469
0.51,284.5931091308594
0.526,386.16217041015625
0.539,374.7631530761719
0.557,280.0816345214844
0.571,280.0816345214844
0.584,269.3223571777344
0.603,291.5986022949219
0.616,109.61563873291016
0.629,106.61341857910156
0.648,99.58841705322266
0.661,97.8222885131836
0.674,91.56195831298828
0.693,92.36521911621094
0.705,85.09066009521484
0.719,82.25
0.736,82.59838104248047
0.749,82.59838104248047
0.767,82.25
0.78,82.59838104248047
0.809,72.30769348144531
0.827,73.80653381347656
0.84,70.55745697021484
0.868,70.84558868408203
0.885,44.235294342041016
0.9,43.890357971191406
0.917,39.94575119018555
0.93,39.94575119018555
0.943,43.718868255615234
0.961,43.3778190612793
0.974,42.36988830566406
0.992,42.03888702392578
1.005,39.16666793823242
1.02,39.476619720458984
1.038,35.898277282714844
1.05,36.04145050048828
1.066,35.47169876098633
1.079,35.47169876098633
1.111,35.6134033203125
1.124,35.898277282714844
1.142,34.2179069519043
1.155,34.2179069519043
1.184,33.537689208984375
1.202,33.537689208984375
1.215,33.67281723022461
1.228,33.537689208984375
1.246,33.94444274902344
1.259,34.2179069519043
1.276,34.0809440612793
1.288,34.2179069519043
1.306,33.537689208984375
1.319,33.67281723022461
1.337,35.04948806762695
1.35,35.47169876098633
1.364,38.85892868041992
1.382,39.476619720458984
1.411,42.36988830566406
1.424,42.871028900146484
1.442,51.72895431518555
1.47,52.54658508300781
1.486,54.86652374267578
1.515,55.082801818847656
1.531,61.04719161987305
1.544,60.563758850097656
1.562,73.20249938964844
1.575,72.60447692871094
1.589,86.93035888671875
1.607,89.59375
1.62,394.1100769042969
1.636,111.68316650390625
1.648,115.98644256591797
1.665,112.73754119873047
1.679,306.5367736816406
1.711,309.1555480957031
1.724,275.6912841796875
1.742,275.6912841796875
1.756,130.42066955566406
1.769,133.0786590576172
1.783,105.15505981445312
1.799,84.36885070800781
1.817,82.94864654541016
1.818,75.34351348876953
1.83,74.11083221435547
1.831,64.04157257080078
1.844,64.55684661865234
1.844,63.277523040771484
1.86,63.277523040771484
1.861,65.33878326416016
1.874,65.86619567871094
1.874,63.78571319580078
1.892,64.29861450195312
1.893,58.67252731323242
1.905,58.67252731323242
1.906,43.718868255615234
1.921,43.3778190612793
1.921,40.41999816894531
1.934,40.41999816894531
1.935,42.03888702392578
1.952,41.54696273803711
1.953,40.5792350769043
1.964,40.26134490966797
1.965,38.25
1.984,38.09911346435547
1.985,35.898277282714844
2.011,36.04145050048828
2.011,33.94444274902344
2.024,33.94444274902344
2.025,35.33047866821289
2.041,35.47169876098633
2.041,33.67281723022461
2.054,33.80840301513672
2.071,33.26877975463867
2.072,33.403011322021484
2.083,35.47169876098633
2.084,35.755592346191406
2.101,34.770408630371094
2.102,35.04948806762695
2.115,33.67281723022461
2.116,33.80840301513672
2.131,36.04145050048828
2.131,35.898277282714844
2.144,36.6191291809082
2.145,36.764808654785156
2.161,39.94575119018555
2.161,40.26134490966797
2.189,46.36116409301758
2.207,46.54280090332031
2.219,48.77888488769531
2.236,49.742454528808594
2.249,57.07143020629883
2.267,58.9052848815918
2.28,65.33878326416016
2.31,64.29861450195312
2.326,83.65489196777344
2.339,85.82044219970703
2.357,103.72413635253906
2.371,99.14286041259766
2.384,108.60194396972656
2.401,109.10713958740234
2.413,234.17544555664062
2.431,224.64407348632812
2.46,242.6445770263672
2.475,240.91018676757812
2.491,273.5400085449219
2.503,271.4172058105469
2.522,103.72413635253906
2.535,96.95509338378906
2.551,89.59375
2.564,87.3044662475586
2.581,73.20249938964844
2.61,73.20249938964844
2.626,72.01237487792969
2.657,62.52391815185547
2.67,61.04719161987305
2.686,61.78054428100586
2.702,61.53498840332031
2.715,64.04157257080078
2.729,61.78054428100586
2.745,62.0272102355957
2.761,57.75163269042969
2.774,57.5239143371582
2.792,45.285987854003906
2.805,44.93307876586914
2.821,43.208255767822266
2.834,43.3778190612793
2.852,43.54802322387695
2.865,43.54802322387695
2.879,42.536312103271484
2.911,42.871028900146484
2.94,40.1032600402832
2.956,40.41999816894531
2.968,37.94876480102539
2.986,38.09911346435547
2.999,36.764808654785156
3.017,36.764808654785156
3.03,36.764808654785156
3.044,36.91099548339844
3.06,36.47395706176758
3.076,36.6191291809082
3.089,35.6134033203125
3.107,35.47169876098633
3.12,37.05769348144531
3.136,37.352630615234375
3.149,37.20490264892578
3.167,36.91099548339844
3.18,36.47395706176758
3.209,36.18511962890625
3.225,39.94575119018555
3.242,39.63243103027344
3.254,41.38418960571289
3.272,41.710330963134766
3.284,41.06044006347656
3.302,41.06044006347656
3.313,41.22201919555664
3.329,44.0625
3.346,52.13608169555664
3.36,59.13907241821289
3.376,75.34351348876953
3.392,88.05899047851562
3.404,101.85758209228516
3.422,105.63809204101562
3.423,129.12088012695312
3.436,267.2549133300781
3.437,247.9754638671875
3.451,107.60128784179688
3.451,87.68067169189453
3.467,69.41888427734375
3.468,60.32366180419922
3.479,62.77397155761719
3.48,61.2905387878418
3.511,55.95717239379883
3.512,41.38418960571289
3.527,41.06044006347656
3.528,42.03888702392578
3.539,40.26134490966797
3.54,38.09911346435547
3.557,36.47395706176758
3.558,35.33047866821289
3.568,35.18974304199219
3.569,35.33047866821289
3.584,35.33047866821289
3.585,34.90970993041992
3.599,34.770408630371094
3.6,33.537689208984375
3.617,33.67281723022461
3.618,33.537689208984375
3.628,33.67281723022461
3.629,35.33047866821289
3.644,35.47169876098633
3.645,34.6315803527832
3.661,34.493221282958984
3.662,33.537689208984375
3.676,33.94444274902344
3.676,37.6496467590332
3.692,37.79894256591797
3.693,42.03888702392578
3.704,42.20408248901367
3.705,44.757633209228516
3.736,45.820465087890625
3.737,47.091976165771484
3.752,47.091976165771484
3.753,47.46168899536133
3.763,48.0217399597168
3.764,51.124488830566406
3.78,51.32515335083008
3.781,51.72895431518555
3.811,50.924644470214844
3.811,54.436710357666016
3.828,54.01050567626953
3.829,61.2905387878418
3.839,62.77397155761719
3.84,74.11083221435547
3.856,73.80653381347656
3.857,88.05899047851562
3.87,89.98290252685547
3.871,113.2699966430664
3.886,99.14286041259766
3.887,88.82203674316406
3.901,89.98290252685547
3.901,100.03669738769531
3.928,103.72413635253906
3.929,118.226806640625
3.944,123.5
3.945,244.39999389648438
3.96,244.39999389648438
3.961,253.50625610351562
3.977,259.2484130859375
3.978,303.9562072753906
3.987,314.51129150390625
3.995,251.63975524902344
4.003,253.50625610351562
4.004,289.23077392578125
4.02,280.0816345214844
4.021,280.0816345214844
4.037,232.5406951904297
4.038,237.50296020507812
4.048,311.8134460449219
4.049,314.51129150390625
4.064,150.86419677734375
4.065,129.12088012695312
4.084,98.69999694824219
4.084,99.58841705322266
4.11,89.59375
4.111,89.59375
4.127,86.55833435058594
4.128,86.18836212158203
4.138,85.09066009521484
4.139,85.45454406738281
4.154,81.90348815917969
4.155,82.25
4.171,79.52894592285156
4.172,79.52894592285156
4.186,77.24031066894531
4.187,75.65560913085938
4.198,72.60447692871094
4.199,73.5037612915039
4.218,74.41666412353516
4.218,73.5037612915039
4.228,68.57933044433594
4.228,68.02631378173828
4.248,70.55745697021484
4.248,71.1351318359375
4.258,68.57933044433594
4.258,67.47856903076172
4.273,64.04157257080078
4.274,63.277523040771484
4.289,58.44078826904297
4.29,57.980350494384766
4.309,50.13333511352539
4.309,50.527381896972656
4.319,49.54819107055664
4.319,50.13333511352539
4.338,49.1619987487793
4.338,49.35470962524414
4.348,46.0
4.348,45.64161682128906
4.363,43.718868255615234
4.364,43.54802322387695
4.381,43.3778190612793
4.382,43.3778190612793
4.408,43.03932571411133
4.409,42.7033576965332
4.424,41.54696273803711
4.425,41.710330963134766
4.44,40.899452209472656
4.441,40.899452209472656
4.46,41.874305725097656
4.46,41.874305725097656
4.47,41.38418960571289
4.47,41.22201919555664
4.489,40.41999816894531
4.489,40.26134490966797
4.499,40.26134490966797
4.499,40.41999816894531
4.519,40.26134490966797
4.519,40.26134490966797
4.529,39.94575119018555
4.529,40.1032600402832
4.544,40.1032600402832
4.545,40.1032600402832
4.56,40.899452209472656
4.561,40.739051818847656
4.58,40.26134490966797
4.58,40.26134490966797
4.59,40.1032600402832
4.59,40.1032600402832
4.604,40.26134490966797
4.605,40.5792350769043
4.62,40.899452209472656
4.621,41.22201919555664
4.64,41.710330963134766
4.64,41.22201919555664
4.65,41.06044006347656
4.65,41.22201919555664
4.67,41.874305725097656
4.67,41.54696273803711
4.679,41.874305725097656
4.679,42.20408248901367
4.714,42.536312103271484
4.714,42.03888702392578
4.724,41.874305725097656
4.724,41.874305725097656
4.738,41.38418960571289
4.739,41.38418960571289
4.758,42.20408248901367
4.758,42.03888702392578
4.768,42.7033576965332
4.769,42.7033576965332
4.788,41.710330963134766
4.788,43.54802322387695
4.798,47.64763641357422
4.798,51.72895431518555
4.818,54.86652374267578
4.818,57.5239143371582
4.828,61.2905387878418
4.828,65.33878326416016
4.848,75.34351348876953
4.848,83.65489196777344
4.858,92.36521911621094
4.858,109.61563873291016
4.873,104.19811248779297
4.874,112.73754119873047
4.889,129.7683868408203
4.89,229.3275909423828
4.909,259.2484130859375
4.909,284.5931091308594
4.919,340.75
4.919,317.25
4.938,273.5400085449219
4.938,247.9754638671875
4.948,301.4130554199219
4.948,96.09821319580078
4.963,86.55833435058594
4.964,86.55833435058594
5.015,86.93035888671875
5.015,80.19841003417969
5.024,72.60447692871094
5.024,74.11083221435547
5.059,68.02631378173828
5.059,63.02517318725586
5.069,64.29861450195312
5.069,65.60187530517578
5.088,65.07691955566406
5.088,66.13176727294922
5.098,61.78054428100586
5.098,59.8466682434082
5.114,58.44078826904297
5.115,57.75163269042969
5.134,48.20989990234375
5.134,47.46168899536133
5.144,43.54802322387695
5.144,43.3778190612793
5.164,42.03888702392578
5.164,41.874305725097656
5.174,40.5792350769043
5.174,40.1032600402832
5.203,40.899452209472656
5.204,40.899452209472656
5.223,39.63243103027344
5.223,39.32136535644531
5.233,39.32136535644531
5.233,39.7888069152832
5.264,39.32136535644531
5.265,39.63243103027344
5.284,39.32136535644531
5.284,39.63243103027344
5.294,39.476619720458984
5.294,39.32136535644531
5.313,38.85892868041992
5.313,38.40142059326172
5.323,39.01252365112305
5.323,39.476619720458984
5.341,41.874305725097656
5.342,43.3778190612793
5.372,43.03932571411133
5.372,42.7033576965332
5.382,43.54802322387695
5.382,46.0
5.392,45.285987854003906
5.399,46.908203125
5.418,47.64763641357422
5.418,50.13333511352539
5.428,50.725608825683594
5.428,60.804931640625
5.447,66.3985824584961
5.448,83.30081176757812
5.457,82.94864654541016
5.477,104.19811248779297
5.478,110.64262390136719
5.491,113.2699966430664
5.492,124.10675811767578
5.503,130.42066955566406
5.504,289.23077392578125
5.523,284.5931091308594
5.523,303.9562072753906
5.533,273.5400085449219
5.533,294.0
5.563,280.0816345214844
5.563,273.5400085449219
5.583,207.39682006835938
5.583,112.20861053466797
5.593,94.41470336914062
5.593,97.8222885131836
5.613,95.25148010253906
5.613,87.68067169189453
5.623,77.24031066894531
5.623,75.65560913085938
5.643,71.42610931396484
5.643,66.3985824584961
5.653,71.1351318359375
5.653,66.3985824584961
5.673,65.07691955566406
5.673,64.29861450195312
5.683,60.32366180419922
5.683,52.13608169555664
5.702,51.72895431518555
5.703,48.20989990234375
5.712,45.64161682128906
5.712,44.58285903930664
5.721,43.890357971191406
5.728,42.536312103271484
5.729,42.03888702392578
5.745,42.536312103271484
5.746,41.874305725097656
5.765,41.54696273803711
5.765,41.38418960571289
5.775,41.54696273803711
5.775,41.06044006347656
5.791,41.38418960571289
