C4B0890D-F795-5936-5F56-28B4BC3AA9C8_time (s),C4B0890D-F795-5936-5F56-28B4BC3AA9C8_raw_resistance
0.0,204.7329864501953
0.012,204.7329864501953
0.012,198.31121826171875
0.028,328.6328125
0.028,371.09564208984375
0.044,340.75
0.044,340.75
0.059,353.67498779296875
0.075,353.67498779296875
0.075,350.3636474609375
0.103,357.0420227050781
0.123,378.4955749511719
0.151,378.4955749511719
0.161,353.67498779296875
0.181,353.67498779296875
0.191,334.5952453613281
0.223,334.5952453613281
0.239,350.3636474609375
0.254,350.3636474609375
0.264,378.4955749511719
0.27,382.2946472167969
0.282,371.09564208984375
0.282,378.4955749511719
0.314,378.4955749511719
0.314,322.8538513183594
0.329,320.0305480957031
0.345,331.5905456542969
0.345,320.0305480957031
0.355,317.25
0.355,170.5610809326172
0.375,161.14285278320312
0.375,156.73304748535156
0.385,155.02101135253906
0.385,155.02101135253906
0.405,161.14285278320312
0.405,165.74778747558594
0.415,146.875
0.415,145.32400512695312
0.435,135.125
0.435,137.2183837890625
0.445,131.73977661132812
0.445,121.11538696289062
0.465,121.70526123046875
0.465,118.79655456542969
0.475,110.64262390136719
0.475,109.10713958740234
0.495,108.60194396972656
0.495,102.78504943847656
0.505,100.48773193359375
0.526,101.85758209228516
0.542,95.67359161376953
0.542,92.77034759521484
0.55,83.30081176757812
0.55,79.86280059814453
0.57,77.24031066894531
0.57,78.86649322509766
0.58,80.875
0.58,82.25
0.6,77.24031066894531
0.6,75.65560913085938
0.61,73.20249938964844
0.61,72.01237487792969
0.63,72.90274047851562
0.63,73.20249938964844
0.66,70.84558868408203
0.66,70.2707290649414
0.67,69.98540496826172
0.67,70.84558868408203
0.69,68.85783386230469
0.69,70.55745697021484
0.7,70.55745697021484
0.7,69.70145416259766
0.72,69.13768005371094
0.72,69.41888427734375
0.73,67.20664978027344
0.73,66.3985824584961
0.75,64.81627655029297
0.75,66.3985824584961
0.76,66.13176727294922
0.76,66.3985824584961
0.78,66.3985824584961
0.78,66.3985824584961
0.79,65.86619567871094
0.79,65.07691955566406
0.81,66.3985824584961
0.81,67.75179290771484
0.82,67.47856903076172
0.82,68.57933044433594
0.84,67.75179290771484
0.84,68.02631378173828
0.85,68.30215454101562
0.85,69.70145416259766
0.87,70.84558868408203
0.87,73.80653381347656
0.88,75.65560913085938
0.88,74.11083221435547
0.9,76.6015396118164
0.9,78.2109375
0.91,84.36885070800781
0.91,86.18836212158203
0.93,85.45454406738281
0.93,85.45454406738281
0.94,90.37428283691406
0.94,91.1637954711914
0.96,94.0
0.96,94.41470336914062
0.97,99.58841705322266
0.97,100.03669738769531
0.99,103.25312805175781
0.99,103.72413635253906
1.0,109.61563873291016
1.0,110.12744903564453
1.02,113.80602264404297
1.02,114.34563446044922
1.03,121.70526123046875
1.03,120.52961730957031
1.05,122.89752960205078
1.05,125.33333587646484
1.06,122.89752960205078
1.06,121.70526123046875
1.08,127.83999633789062
1.08,128.4781036376953
1.11,150.05328369140625
1.11,152.5062255859375
1.12,152.5062255859375
1.12,153.33749389648438
1.139,160.24569702148438
1.139,163.88157653808594
1.159,160.24569702148438
1.169,154.1757354736328
1.185,160.24569702148438
1.185,165.74778747558594
1.215,184.15866088867188
1.215,180.87203979492188
1.225,199.56922912597656
1.225,197.0659942626953
1.245,199.56922912597656
1.245,188.69117736816406
1.255,188.69117736816406
1.255,192.20895385742188
1.275,314.51129150390625
1.275,328.6328125
1.285,343.9024353027344
1.285,340.75
1.305,374.7631530761719
1.305,374.7631530761719
1.315,343.9024353027344
1.315,347.1065673828125
1.335,363.94873046875
1.335,363.94873046875
1.345,378.4955749511719
1.345,371.09564208984375
1.365,363.94873046875
1.365,353.67498779296875
1.375,340.75
1.375,343.9024353027344
1.394,363.94873046875
1.394,350.3636474609375
1.414,347.1065673828125
1.423,371.09564208984375
1.439,378.4955749511719
1.439,343.9024353027344
1.449,188.69117736816406
1.467,189.8522186279297
1.483,176.63255310058594
1.499,179.7971649169922
1.514,152.5062255859375
1.534,154.1757354736328
1.534,150.86419677734375
1.56,152.5062255859375
1.57,150.86419677734375
1.59,148.4512176513672
1.6,153.33749389648438
1.62,145.32400512695312
1.63,148.4512176513672
1.65,140.81640625
1.66,142.29527282714844
1.68,135.81748962402344
1.69,135.125
1.71,130.42066955566406
1.72,131.07777404785156
1.756,139.36045837402344
1.782,135.125
1.798,137.2183837890625
1.814,130.42066955566406
1.829,129.7683868408203
1.849,123.5
1.849,122.2992935180664
1.878,119.3702392578125
1.888,121.70526123046875
1.908,110.64262390136719
1.918,110.64262390136719
1.938,107.60128784179688
1.963,107.60128784179688
2.054,102.78504943847656
2.074,102.78504943847656
2.1,101.39814758300781
2.142,96.52537536621094
2.158,96.95509338378906
2.174,96.95509338378906
2.205,92.77034759521484
2.215,92.77034759521484
2.235,81.55882263183594
2.262,81.21600341796875
2.278,79.19685363769531
2.294,79.19685363769531
2.309,77.24031066894531
2.352,77.88571166992188
2.384,80.19841003417969
2.399,79.86280059814453
2.419,82.25
2.419,83.30081176757812
2.445,79.86280059814453
2.455,79.52894592285156
2.475,75.96930694580078
2.485,75.96930694580078
2.505,72.30769348144531
2.523,72.30769348144531
2.533,72.60447692871094
2.553,72.90274047851562
2.563,72.01237487792969
2.583,72.01237487792969
2.593,69.98540496826172
2.613,69.98540496826172
2.654,70.84558868408203
2.674,69.70145416259766
2.674,67.75179290771484
2.7,67.75179290771484
2.71,68.85783386230469
2.73,69.13768005371094
2.74,68.57933044433594
2.76,67.75179290771484
2.77,70.2707290649414
2.79,70.2707290649414
2.8,67.75179290771484
2.848,67.47856903076172
2.864,68.02631378173828
2.879,68.02631378173828
2.922,67.20664978027344
2.938,67.75179290771484
2.954,66.3985824584961
2.969,66.3985824584961
2.989,64.04157257080078
2.989,64.29861450195312
3.013,64.29861450195312
3.028,64.29861450195312
3.044,64.55684661865234
3.059,65.07691955566406
3.079,65.07691955566406
3.079,65.07691955566406
3.105,65.33878326416016
3.115,65.60187530517578
3.121,64.81627655029297
3.133,64.55684661865234
